Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,9.355132,9.872843,9.309718,9.831971,6.580798,13584358
2002-01-03,9.763851,10.431426,9.763851,10.426885,6.978991,23408141
2002-01-04,10.426885,10.535876,10.172570,10.517711,7.039781,15240482
2002-01-07,10.603996,10.781108,10.222525,10.454133,6.997232,15667010
2002-01-08,10.445050,10.517711,10.263397,10.345141,6.924276,9925075
2002-01-09,10.354223,10.953678,10.354223,10.653951,7.130971,27239180
2002-01-10,10.653951,10.653951,10.449591,10.594914,7.091456,9899531
2002-01-11,10.672116,10.672116,10.217984,10.390554,6.954676,11721026
2002-01-14,10.395095,10.445050,10.177112,10.227066,6.845245,13084945
2002-01-15,10.422343,10.490463,10.290645,10.481381,7.015465,17763314
2002-01-16,10.399637,10.404178,10.127157,10.181653,6.814849,16976539
2002-01-17,10.308810,10.717530,10.213442,10.685740,7.152245,20695277
2002-01-18,10.399637,10.490463,10.240690,10.267938,6.872607,14223158
2002-01-22,10.345141,10.349682,9.836512,9.904632,6.629436,12245542
2002-01-23,9.904632,10.186194,9.673025,10.063579,6.735818,15166055
2002-01-24,10.149864,10.499546,10.099909,10.277021,6.878686,17720155
2002-01-25,10.040872,10.345141,9.945504,10.204360,6.830047,12574961
2002-01-28,10.108992,10.217984,9.881926,10.022707,6.708466,9360702
2002-01-29,10.136240,10.172570,9.491371,9.509537,6.364987,16683013
2002-01-30,9.759310,9.990917,9.173479,9.972752,6.675029,17623487
2002-01-31,9.990917,10.054496,9.700272,10.040872,6.720623,18060143
2002-02-01,9.968211,10.190736,9.904632,9.990917,6.687188,18730432
2002-02-04,10.354223,10.463215,9.831971,10.009083,6.699345,25610141
2002-02-05,9.990917,10.068120,9.709355,9.713896,6.501769,14383024
2002-02-06,9.936421,9.936421,9.445958,9.468665,6.337629,23669518
2002-02-07,9.695731,9.713896,9.432334,9.445958,6.322430,13554851
2002-02-08,9.427793,9.514078,9.041780,9.264305,6.200843,21388466
2002-02-11,9.264305,9.491371,9.146231,9.468665,6.337629,11736660
2002-02-12,9.423252,9.514078,9.264305,9.432334,6.313310,14514263
